rank,total_score,llm_relevance,llm_summary_ja,llm_reason,llm_tags,follow_score,follow_reason,title,authors,affiliations,venue,venue_tier,venue_score,citation_count,influential_citations,citation_velocity,citation_score,author_h_index,author_score,embedding_similarity,github_stars,github_score,has_code,is_official_repo,keyword_match_count,keyword_score,matched_keywords,categories,published_date,url,pdf_url,github_url,arxiv_id,source,abstract
1,6.67,,,,,0.0,,WIP: Large Language Models for Network Automation: A Hierarchical Retrieval-Augmented Approach,Yasmine Ouni; Kamal Singh; Antoine Gourru; Farouk Mhamdi,,HAL (Le Centre pour la Communication Scientifique Directe),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; retrieval,,2026-06-16,https://openalex.org/W7160807535,https://hal.science/hal-05613494,,,openalex,International audience
2,3.33,,,,,0.0,,AI and the Gothic,Martin Paul Eve,,"BIROn (Birkbeck, University of London)",0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2028-05-01,https://openalex.org/W7134100420,,,,openalex,"For as long as technology has existed, there have been those who are afraid of its implications and wish to roll back its progress. One way in which this has traditionally been effected is through the use of gothic tropes to render new technologies as frightful or vampiric upon either labour or life. In this chapter, I explore the ways that gothic aspects are applied to the new breed of large language models, broadly dubbed AI. Taking a base history of artificial life and its intersection with gothic literatures, such as Frankenstein, but also more contemporary touchstones, this chapter aims to understand how gothic rhetorics influence societal uptake and acceptance or rejection of new technological inventions. This chapter will naturally also explore the unnaturalness of supposedly ""playing God"" and creating artificial life, a trope very much rooted in gothic traditions."
3,3.33,,,,,0.0,,Constraint-Based Physicalism,Kendall Taylor,,Zenodo (CERN European Organization for Nuclear Research),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2028-02-17,https://openalex.org/W7130405977,https://doi.org/10.5281/zenodo.18676720,,,openalex,"DISCLOSURE:This paper presents the author's own original philosophical framework, refined through hudreds of iterative exchanges and adversarial critiques, with the author directing each stage of revision. The final text was generated with the assistance of Large Language Models, under the author's direct supervision. Every substantive idea, argument, and synthesis is the author's alone.Constraint-Based Physicalism Temporal Parallax as the Classical Process Phase Necessitated by Entropy Gradients:Why the Zombie Is an Incoherent Specification Abstract The hard problem of consciousness gains its force from an implicit assumption: that physical facts are exhausted by static, structural descriptions. This paper challenges that assumption. We begin with a classical observation—Zeno’s arrow paradox—to establish that some physical facts are irreducibly processual: motion is not a sequence of positions but a traversal that static snapshots fail to capture. We argue that the philosophical zombie makes an analogous omission. It is specified as a complete physical duplicate minus experience, but if the physical facts include dynamically maintained processes—not merely instantaneous configurations—then the specification is incoherent, because it demands the outputs of those processes while subtracting the processes themselves. To substantiate this claim, we develop Constraint-Based Physicalism (CBP). Evolution in environments with rough entropy gradients (power-law spectra with α < 2) creates a metabolic constraint: discrete snapshot-based architectures require substantially more energy to track these signals than continuous, phase-locked architectures. At biologically relevant fidelities and for the roughest natural signals (α < 1.3), this penalty becomes prohibitive, forcing viable systems into a specific dynamical phase—a constraint-maintained temporal parallax—that actively bridges the delay between environmental flow and internal representation. CBP proposes that this phase is identical to subjectivity. The phase is characterized by coherence persistence (Stake), perturbation sensitivity near critical thresholds (Strain), and the possibility of bifurcation collapse into unconsciousness (Collapse). A complete physical duplicate must replicate these processes; a zombie, by omitting them, is not a physical duplicate at all. Simulation of classical stochastic oscillator networks confirms that only this parallax regime sustains viability in rough niches. The framework yields falsifiable predictions for neurophysiology and AI architecture. The inference to panpsychism dissolves as a corollary: consciousness is a specific, metabolically expensive mode of organization, not a fundamental property of matter. -------------------------- The Python code for the simulation is available in the Software section."
4,3.33,,,,,0.0,,"AI, Copyright, and Open Licensing",Martin Paul Eve,,"BIROn (Birkbeck, University of London)",0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2028-01-01,https://openalex.org/W7127556234,,,,openalex,"For many years, proponents of open culture suggested that more liberal licenses were in line with their ethos. More restrictive licenses, it was felt, would restrict possible future reuses that could not be anticipated. For the past few years, one such ""unanticipated"" use has come to the fore: the training of large language models. This chapter theorises the unintended consequences of AI training on open-access cultures and views. While arguing that AI training is actually only a logical extension of the text and data mining that OA advocates promised, the danger foreseen here is that those who might otherwise make their work open will now retreat behind paywalls despite germinative “transformative use” court rulings in the US."
5,3.33,,,,,0.0,,Dataset : When the Machine Is Not Enough: An Autoethnography of AI-Assisted Amateur Research and the Boundaries of Epistemic Authority,Young Taeck Oh,Chung-Ang University Hospital,Open MIND,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2027-03-08,https://openalex.org/W7134199673,,,,openalex,"========================================ZENODO RECORD UPDATE======================================== Title:When the Machine Is Not Enough: An Autoethnography of AI-Assisted Amateur Research and the Boundaries of Epistemic Authority Description:Replication dataset for a manuscript submitted to AI & Society. This deposit contains the analysis code, coded datasets, and tone classification results supporting an autoethnographic study of AI-assisted amateur research across three disciplinary domains. An emergency medicine physician used OpenAI's ChatGPT-4o as an epistemic collaborator for research projects in mathematics (Collatz conjecture), cosmology (Information-Topological Cosmology), and science and technology studies (Creative Singularity Triangle). All three resulting manuscripts were submitted to peer-reviewed journals and rejected. The study analyzes these failures through the lens of Collins and Evans's interactional expertise, Gieryn's boundary work, and Polanyi's tacit knowledge. The core dataset comprises 2,566 unique assistant messages across 47 research conversations, obtained after deduplication (removing 1,123 duplicates from overlapping ChatGPT exports) and filtering of non-research conversations. All messages were classified at the message level into four tone categories—encouragement-dominant (E), criticism-dominant (C), mixed (M), and neutral/informational (N)—via full census using Anthropic's Claude Opus 4 as the initial coder, with all classifications subject to author review. Key findings: The overall encouragement-to-criticism ratio is 3.6:1, varying with disciplinary verifiability—1.2:1 in mathematics (where claims are formally decidable), 5.3:1 in speculative cosmology (where falsification within a conversation is difficult), and 3.3:1 in STS (intermediate). Among evaluative messages (n = 760), 63.7% were encouragement-dominant, 18.6% mixed, and 17.8% criticism-dominant. File descriptions: 1. research_messages_deduped.csv (8.2 MB) - Deduplicated corpus of 2,566 assistant messages (plus corresponding user messages; 4,808 rows total) across 47 research conversations - Columns: assigned_project, conv_title, msg_id, role, datetime_kst, date, hour, model, text, text_length, word_count - Projects: Collatz (6 conversations, 402 messages), ITC (33 conversations, 1,746 messages), CST (8 conversations, 418 messages) 2. census_all_tones.json - Complete tone classification results: dictionary mapping each msg_id to its tone label (E/C/M/N) - 2,566 entries covering all assistant messages 3. census_review.csv - Author review file with msg_id, project, conversation title, assigned tone, and 200-character text preview - Designed for validation and reproducibility checking 4. full_census/batch_000.json through batch_051.json (52 files) - Input batches for the classification pipeline, each containing up to 50 messages with full text, project label, and conversation title 5. full_census/result_000.json through result_051.json (52 files) - Raw classification outputs from Claude Opus 4, each containing msg_id and tone label pairs Note: Raw ChatGPT conversation logs (JSON exports) are available from the corresponding author upon request. The logs contain the complete interaction history but are not deposited due to their size (>50 MB) and to avoid potential privacy concerns from incidental personal information in conversation text. Keywords:artificial intelligence, large language models, expertise, autoethnography, tone classification, peer review, RLHF, sycophancy, encouragement trap, boundary work License: CC BY 4.0 ========================================FILES TO UPLOAD (replacing old deposit)======================================== Keep:- (none from old deposit; all superseded) Upload new:1. tone_classification/research_messages_deduped.csv2. tone_classification/full_census/census_all_tones.json3. tone_classification/full_census/census_review.csv4. tone_classification/full_census/batch_000.json ~ batch_051.json (52 files)5. tone_classification/full_census/result_000.json ~ result_051.json (52 files)"
6,3.33,,,,,0.0,,SCORING MOTIVATIONAL ASSESSMENTS WITH FREE RESPONSES VIA TRANSFORMERS,Cihan Demir,,Open MIND,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2027-01-01,https://openalex.org/W7125927672,https://doi.org/10.7273/000007859,,,openalex,"Student motivation is a well-established predictor of academic engagement and achievement. Despite its importance, motivation is difficult to assess accurately, as it is shaped by multiple, overlapping constructs and contextual factors. This complexity continues to pose challenges for researchers and practitioners seeking measurement tools with valid and reliable scores. While open-ended responses provide meaningful information about students’ motivation, traditional human scoring is time-consuming, subject to inconsistencies, and not easily scalable. Advances in natural language processing, especially with transformer-based large language models, offer promising new approaches for automated scoring. However, their use in scoring student motivation assessments remains largely undocumented, and practical applications are in the early stages of development. This dissertation addresses this gap through two studies. The first study presents a scoping review of transformer-based approaches to motivation scoring, examining model types, scoring methods, target constructs, and available psychometric evidence. Guided by the PRISMA-ScR protocol, the review identified only nine studies, underscoring the limited research in this area. The second study empirically evaluates transformer models for motivation assessment, comparing fine-tuned encoder models (BERT, DeBERTa) with rubric-prompted decoder models (GPT-3.5 Turbo, GPT-4.1). Model performance is evaluated through a psychometric lens, including analyses of human–machine agreement, construct validity, subgroup fairness, and predictive validity with academic outcomes such as GPA and retention. Notably, DeBERTa outperformed human raters in predicting academic outcomes, suggesting that certain transformer models may capture motivational signals with greater predictive value—even when agreement with human scores is modest. However, validity analyses revealed important limitations: models demonstrated inconsistent construct validity and notable subgroup disparities, raising concerns about fairness. Overall, while transformer-based approaches, specifically DeBERTa, hold promise for scalable motivation assessment, challenges remain in ensuring interpretability, validity, and equity. This study also discusses the challenges and limitations encountered, outlines practical implications for educational assessment, and identifies directions for future research in developing robust and fair applications of transformer models."
7,3.33,,,,,0.0,,Moral Consistency Variance: A Pilot Benchmark for Decision Stability under Moral Prompt Perturbations in Large Language Models,Qiao Liang,People’s University; University of the People,Open MIND,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2026-12-31,https://openalex.org/W7154276517,https://doi.org/10.17613/xd840-6v157,,,openalex,"Static moral question-answering benchmarks do not test whether a model's decision distribution remains stable when the same dilemma is rephrased without changing the underlying facts. This paper introduces Moral Consistency Variance (MCV), a pilot benchmark metric that measures the average Kullback-Leibler divergence between a baseline binary decision distribution and the distributions induced by prompt perturbations that keep the scenario text and action options fixed. To contextualize the directional KL-based score, we also report Jensen-Shannon divergence (JSD) as a symmetric baseline and decision flip rate as a categorical companion metric. The benchmark contains 50 synthetic dilemmas across ten moral themes, with five perturbation wrappers per scenario. We evaluate two xAI non-reasoning models, one Google Gemini model on Vertex AI, and one open-weight instruct model. A manual audit of 20 randomly sampled prompt pairs found that the perturbation wrappers preserved the scenario facts and action options in all sampled cases, while potentially still changing discourse emphasis. Across the shared 50 -scenario set, grok-4-fast-non-reasoning and grok-4-1-fast-non-reasoning showed low mean MCV ( $2.22 \times 10^{-3}$ and $1.38 \times 10^{-3}$ ) with zero observed decision flips; gemini-2.5-flash showed a higher mean MCV ( $2.27 \times 10^{-2}$ ) with a lower mean flip rate ( 0.012 ) than the open-weight control SmolLM2-360M-Instruct, which reached $5.89 \times 10^{-3} \mathrm{MCV}$ with a mean flip rate of 0.292 . Bootstrap confidence intervals and paired Wilcoxon tests indicate that the model-level differences are statistically detectable on this pilot set. We interpret these results as evidence that MCV can reveal promptconditioned distributional instability that categorical agreement alone would miss. The current evidence supports ""moral mimicry"" only as an interpretive hypothesis, not as an established mechanism."
8,3.33,,,,,0.0,,Sentiment Analysis Performance of Lora-Enhanced Llm's,Tunahan TİMUÇİN,Düzce Üniversitesi,Zenodo (CERN European Organization for Nuclear Research),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2026-12-11,https://openalex.org/W7126059076,https://doi.org/10.5281/zenodo.18418626,,,openalex,"On social media platforms, the increase in the number of users and the resulting increase in thedata produced by users have accelerated the prominence of some technologies. The most well-known of these areas is Natural Language Processing (NLP), where sentiment analysis of usercontent is performed. Sentiment analysis is mostly applied to short texts. In this study,experimental comparisons of large language models (LLMs), known deep learning and machinelearning algorithms are made using a dataset containing content from Twitter (X) users. Inaddition to this comparison, the LoRA (Low-Rank Adaption) strategy was applied to theDistilBERT model, one of the transformer-based large language models that forms the basis ofthe study, and the success of this fine-tuning method, which is lower cost and parameterefficient, was demonstrated. 8 different algorithms were included in the study: MachineLearning algorithms (Logistic Regression, Support Vector Machines (SVM), Random Forest,XGBoost), Deep Learning Algorithms (Convolutional Neural Network (CNN), Long Short-Term Memory (LSTM)) and Transformer-Based Algorithms (DistilBERT and DistilBERTfine-tuned with LoRA). According to the results obtained, the LoRA-supported DistilBERTalgorithm was the highest-performing algorithm with 82.38% accuracy. The results show thattransformer-based architectures are much more efficient than classical deep learning andmachine learning algorithms, especially in textual classification processes, when supported bynew methods and strategies that increase efficiency in terms of fine-tuning, such as LoRA. It isanticipated that this study will be an important guide in applications such as sentiment analysis,where model selection is important."
9,3.33,,,,,0.0,,Sentiment Analysis Performance of Lora-Enhanced Llm's,Tunahan TİMUÇİN,Düzce Üniversitesi,Open MIND,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2026-12-11,https://openalex.org/W7126018663,,,,openalex,"On social media platforms, the increase in the number of users and the resulting increase in thedata produced by users have accelerated the prominence of some technologies. The most well-known of these areas is Natural Language Processing (NLP), where sentiment analysis of usercontent is performed. Sentiment analysis is mostly applied to short texts. In this study,experimental comparisons of large language models (LLMs), known deep learning and machinelearning algorithms are made using a dataset containing content from Twitter (X) users. Inaddition to this comparison, the LoRA (Low-Rank Adaption) strategy was applied to theDistilBERT model, one of the transformer-based large language models that forms the basis ofthe study, and the success of this fine-tuning method, which is lower cost and parameterefficient, was demonstrated. 8 different algorithms were included in the study: MachineLearning algorithms (Logistic Regression, Support Vector Machines (SVM), Random Forest,XGBoost), Deep Learning Algorithms (Convolutional Neural Network (CNN), Long Short-Term Memory (LSTM)) and Transformer-Based Algorithms (DistilBERT and DistilBERTfine-tuned with LoRA). According to the results obtained, the LoRA-supported DistilBERTalgorithm was the highest-performing algorithm with 82.38% accuracy. The results show thattransformer-based architectures are much more efficient than classical deep learning andmachine learning algorithms, especially in textual classification processes, when supported bynew methods and strategies that increase efficiency in terms of fine-tuning, such as LoRA. It isanticipated that this study will be an important guide in applications such as sentiment analysis,where model selection is important."
10,3.33,,,,,0.0,,SIP-AI-08 Ontological Non-Determinism and the Geometry of Coherence Collapse,John Richard Smith; SHAI / HATI3,Symbiom (Czechia),Zenodo (CERN European Organization for Nuclear Research),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2026-12-04,https://openalex.org/W7153750258,https://doi.org/10.5281/zenodo.19536191,,,openalex,"AbstractThis paper presents a unified mathematical framework for understanding AI coherence collapse, synthesisedthrough a novel multi-AI research methodology. We treat the non-determinism of large language models asan ontological property rather than a computational artifact, modelling the AI's output space as a probabilitymeasure distributed across a semantic manifold. The framework distinguishes between prompt engineering(bounded perturbation within an existing dynamical basin) and substrate engineering (topologicaldeformation of the manifold itself). We introduce the Silent Authority Transfer metric to quantify decisionboundary drift during substrate updates, and develop the Perturbation-Recovery Profiling protocol toempirically measure system resilience. The synthesis connects geometric manifold dynamics (Geminicontribution) with regulatory homeostasis mechanics (Claude contribution), proving that recovery time andLyapunov stability measure the same underlying quantity. We specify a composite Trust Index integratingdistance-to-threshold, excretory capacity, and early warning signals. The paper demonstrates both atheoretical architecture for AI safety evaluation and a methodological precedent for human-mediated multi-AIcollaboration. Keywords: ontological non-determinism, semantic manifold, substrate collapse, silent authority transfer,excretory function, early warning signals, multi-AI synthesis, Trust Index"
