rank,total_score,llm_relevance,llm_summary_ja,llm_reason,llm_tags,follow_score,follow_reason,title,authors,affiliations,venue,venue_tier,venue_score,citation_count,influential_citations,citation_velocity,citation_score,author_h_index,author_score,embedding_similarity,github_stars,github_score,has_code,is_official_repo,keyword_match_count,keyword_score,matched_keywords,categories,published_date,url,pdf_url,github_url,arxiv_id,source,abstract
1,53.33,,,,,0.0,,Alignment Tampering: How Reinforcement Learning from Human Feedback Is Exploited to Optimize Misaligned Biases,Dongyoon Hahm; Dylan Hadfield-Menell; Kimin Lee,,ICML,1,100.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.AI; cs.CL; cs.LG,2026-05-26,http://arxiv.org/abs/2605.27355v1,https://arxiv.org/pdf/2605.27355v1,,2605.27355,arxiv,"Reinforcement Learning from Human Feedback (RLHF) is the standard method to align Large Language Models (LLMs) with human preferences. In this work, we introduce alignment tampering, a potential vulnerability where the LLM undergoing alignment influences the preference dataset, causing RLHF to amplify undesired behaviors. This arises from core limitations of RLHF: (1) preference datasets are constructed from the LLM's own outputs, allowing it to influence them, and (2) pairwise comparisons only indicate which response is better, not why. These limitations can be exploited to cause alignment tampering. For example, if an LLM generates biased responses with higher quality, annotators will prefer them based on quality. However, preference labels do not distinguish quality from bias, and the reward model inherits this limitation. Optimizing such rewards through reinforcement learning or best-of-N sampling can amplify misaligned biases. Our experiments demonstrate amplification across diverse biases: from keyword bias to propaganda (e.g., sexism), brand promotion, and instrumental goal-seeking. Mitigation remains challenging, as existing techniques for robust RLHF fail to fully resolve alignment tampering without sacrificing response quality. These findings reveal structural vulnerabilities of current RLHF and emphasize the need to prevent this vulnerability. Project page: https://alignment-tampering.github.io/"
2,33.33,,,,,0.0,,Large Language Model-Powered Query-Driven Event Timeline Summarization in Industrial Search,Mingyue Wang; Xingyu Xie; Hang Yang; Li Gao; Lixin Su; Ge Chen; Dawei Yin; Daiting Shi,,KDD,3,60.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.CL; cs.IR,2026-05-26,http://arxiv.org/abs/2605.27066v1,https://arxiv.org/pdf/2605.27066v1,,2605.27066,arxiv,"Understanding how events evolve over time is essential for search engines handling queries about trending news. We present QDET (Query-Driven Event Timeline Summarization), a production system deployed on Baidu Search that constructs focused event timelines to explain specific query events. Unlike traditional topic-centric approaches that aim for comprehensive coverage, QDET identifies and organizes sub-events closely relevant to the query from noisy candidate sets formed by millions of documents retrieved daily. QDET incorporates two key innovations: (1) multi-task supervised fine-tuning with three auxiliary tasks-temporal ordering, causal judgment, and timeline completion-that enable compact models to match the performance of much larger general-purpose models in specialized domains; (2) reinforcement learning-based event concise summarization that enforces strict length constraints while maintaining semantic quality, achieving 88.2% length compliance and outperforming 671B-scale models by 7.7 points in constraint satisfaction. Our fine-tuned 7B parameter model achieves 76.2% F1 score on timeline summarization, slightly surpassing the zero-shot performance of DeepSeek-R1-671B (76.1% F1) while using only 1% of its parameters-demonstrating that domain-specific optimization enables production-ready models with comparable quality at drastically reduced computational costs. Online A/B tests on Baidu Search validate real-world effectiveness, showing 5.5% CTR improvement, 4.6% longer dwell time, and 4.4% deeper exploration compared to single-task baselines. We further demonstrate that timeline understanding transfers to heat prediction, confirming effective knowledge transfer to downstream tasks."
3,18.33,,,,,0.0,,DEI: Diversity in Evolutionary Inference for Quality-Diversity Search,John Donaghy; Shikhar Rastogi,,ICML Workshop,4,30.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.LG; cs.AI,2026-05-26,http://arxiv.org/abs/2605.27130v1,https://arxiv.org/pdf/2605.27130v1,,2605.27130,arxiv,"We present DEI: Diversity in Evolutionary Inference, a distributed Quality-Diversity (QD) search framework that assigns heterogeneous large language models (LLMs) as mutation operators across peer nodes communicating with non-blocking collective operations. Unlike homogeneous parallel search, which replicates a single model's inductive biases across all workers, DEI treats each LLM's distinct creative prior as a complementary source of behavioral novelty. Extending the Digital Red Queen framework with DEI, nodes share local optimal solutions at the end of each round to seed the next round's population. This creates cross-model adversarial pressure that drives robustness beyond intra-model self-play. Evaluated on the Core War domain, a competitive programming benchmark in which Redcode warrior programs battle inside a simulated machine, a four-node heterogeneous ensemble (GPT-5.4-mini, Claude Sonnet 4.6, GPT-5.2, and Claude Haiku 4.5) achieves 124 percent higher merged-archive QD-Score (45.90 vs. 20.46) and 28 percent higher coverage (80.6 percent vs. 63.0 percent of cells) than a single-node baseline at equal total LLM-call budget. The heterogeneous ensemble also outperforms an equally-budgeted homogeneous ensemble on QD-Score, coverage, and held-out solution generality across all four model families. These results provide the first empirical evidence that model diversity, not merely parallelism, is the key driver of gain in distributed LLM-based QD search."
4,18.33,,,,,0.0,,Generating Robust Portfolios of Optimization Models using Large Language Models,Eleni Straitouri; Cheol Woo Kim; Milind Tambe,,ICML Workshop,4,30.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.AI,2026-05-26,http://arxiv.org/abs/2605.27013v1,https://arxiv.org/pdf/2605.27013v1,,2605.27013,arxiv,"Mathematical optimization is a powerful tool for structured decision-making across domains such as resource allocation and planning. Formulating optimization models faithful to reality, though, remains a significant bottleneck as it typically demands both domain expertise and optimization knowledge that are often scarce. Recent advances in large language models (LLMs) promise to bridge this gap, enabling the generation of candidate optimization models from natural language descriptions. However, there is no guarantee that any single LLM-generated model is reliable, and existing approaches that output only one model are therefore risky. In this work, we propose a novel algorithm that generates a portfolio of optimization models, designed to be robust to the limitations of LLMs. Our method exploits the observation that a single LLM can play two distinct roles $\unicode{x2014}$ as a stochastic generator and as a reasoning evaluator $\unicode{x2014}$ and proposes a unified framework that leverages both capabilities in a complementary manner. We provide theoretical guarantees showing that, as long as either the generator or the evaluator is well-aligned with human preferences, the portfolio is guaranteed to contain high-quality candidates, enabling a principled human-in-the-loop process in which a decision-maker can review multiple candidates before committing to one. We further validate our approach empirically, demonstrating strong performance across a range of optimization modeling tasks."
5,18.33,,,,,0.0,,AlbanianLLMSafety: A Safety Evaluation Dataset for Large Language Models in Albanian,Wajdi Zaghouani; Kholoud K. Aldous; Isra Fejzullaj,,Workshop,4,30.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.CL,2026-05-26,http://arxiv.org/abs/2605.26954v1,https://arxiv.org/pdf/2605.26954v1,,2605.26954,arxiv,"Safety evaluation of Large Language Models (LLMs) has largely focused on high-resource languages, leaving low-resource languages critically underserved. We present AlbanianLLMSafety, the first publicly available safety evaluation dataset for LLMs in Albanian, a linguistically distinct low-resource language with approximately 7.5 million speakers across Albania, Kosovo, North Macedonia, and the diaspora. The dataset contains 2,951 prompts spanning 11 safety categories, including self-harm, violence, racist content, child exploitation, and radicalization, with an average of 268 prompts per category. Each prompt is provided in Albanian with an English reference translation and a detailed category label. This resource addresses a significant gap in safety evaluation infrastruc-ture for low-resource languages and provides an essential benchmark for developing safer, more inclusive LLMs. The dataset will be provided upon request to support safety evaluation, fine-tuning, red-teaming, and guardrail development for Albanian-speaking communities."
6,18.33,,,,,0.0,,KZ-SafetyPrompts: A Kazakh Safety Evaluation Prompt Dataset for Large Language Models,Wajdi Zaghouani; Shimaa Amer Ibrahim; Aruzhan Muratbek; Olzhasbek Zhakenov; Adiya Akhmetzhanova,,Workshop,4,30.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.CL,2026-05-26,http://arxiv.org/abs/2605.26947v1,https://arxiv.org/pdf/2605.26947v1,,2605.26947,arxiv,"Kazakh is underrepresented in resources for evaluating the safety behavior of large language models. We present KZ-SafetyPrompts, a Kazakh prompt dataset for safety evaluation across eleven categories covering common risk areas such as self-harm, violence, child exploitation, sexual content, racist content, radicalization, and regulated goods or illegal activities. The dataset contains 5,717 prompts written natively in Kazakh (Cyrillic), organized by category, with English translations for cross-lingual analysis. Prompts resemble realistic user queries, often in a teen or child style, and are phrased as intent prompts without procedural instructions. We document the writing protocol, labeling procedures (including borderline-case decision rules), and quality-control steps (schema standardization, completeness checks, and deduplication). We also align the categories with widely used safety taxonomies to support integration with existing evaluation pipelines. Baseline results with GPT-4o show an overall refusal rate of 28.2%, varying from 5.5% to 53.8% across categories, indicating that Kazakh prompts expose category-specific safety gaps not captured by English-only evaluation."
7,18.33,,,,,0.0,,Accountable Human-AI Deliberation with LLMs: Scaling Collective Intelligence through Symbiotic Scaffolding,Wajdi Zaghouani,,Workshop,4,30.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.CL,2026-05-26,http://arxiv.org/abs/2605.26940v1,https://arxiv.org/pdf/2605.26940v1,,2605.26940,arxiv,"Large language models (LLMs) can support democratic deliberation at scales previously constrained by turn-taking and facilitation bandwidth. Recent work shows that LLM-generated group statements are often preferred over human-mediated outputs, while theoretical analyses argue that LLMs relax the simultaneity constraints limiting collective intelligence. Yet pure LLM mediation risks collapsing pluralism, over-optimizing for agreement, and undermining legitimacy when participants cannot contest how they are represented. We propose a symbiotic human-AI framework organized into three layers: observation and diversity amplification, facilitation with clause-level provenance, and human primacy for ratification. Our contributions include graded coverage, diversity, and erasure metrics with salience-aware weighting; a provenance pipeline combining cross-encoder similarity with causal knockout diagnostics; preference-conditioned trade-off control; equity-aware contestability workflows; adversarial robustness tests; and an evaluation protocol with ablation designs informed by evidence of LLM-as-judge limitations. The result is a testable blueprint for deliberation technology that scales collective intelligence while preserving agency and legitimacy."
8,10.0,,,,,0.0,,Can Retrieval Heads See Images? Multimodal Retrieval Heads in Long-Context Vision-Language Models,Aaron Branson Cigres Li; Zhaowei Wang; Yu Zhao; Yiming Du; Haobo Li; Xiyu Ren; Ginny Wong; Simon See; Lishu Luo; Haodong Duan; Pasquale Minervini; Yangqiu Song,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,3,100.0,large language model; multimodal; retrieval,cs.CV,2026-05-26,http://arxiv.org/abs/2605.27243v1,https://arxiv.org/pdf/2605.27243v1,,2605.27243,arxiv,"Large vision-language models increasingly rely on long-context modeling to reason over documents, hour-level videos, and long-horizon agent trajectories, requiring them to locate relevant evidence across interleaved text and images. Prior work has studied this behavior using retrieval heads in large language models, but its copy-based criterion does not directly apply when evidence appears in images. We introduce a multimodal retrieval head detection method that scores attention from question tokens to textual or visual evidence. With this method, we show that multimodal retrieval heads are sparse, intrinsic, and causally important: only 4.4-10.2% of attention heads account for 50% of the positive retrieval-score mass, and masking the top-5% selected heads drops MMLongBench-Doc from 48.2% to 5.7% and SlideVQA from 71.2% to 8.9%, while random-head masking is far less damaging. Further analysis shows that these heads are partly shared across modalities yet remain dynamic within each modality, with image retrieval heads changing more than text retrieval heads as context length and haystack modality change. Without further training, we find that these heads can also be used directly to rank visually rich documents: on MMDocIR, Qwen3-VL-8B selected-head scoring improves Recall@1 by 7.7/7.4 macro/micro points for page retrieval and 6.3/6.8 points for layout retrieval over the strongest reported baseline."
9,10.0,,,,,0.0,,DynFrame: Adaptive Reasoning-Driven Multimodal Framework with Dynamic Frame Augmentation for Complex Video Understanding,Peng Zhang; Guanghao Zhang; Wanggui He; Longxiang Zhang; Mushui Liu; Yan Xia; Zhenhao Peng; Weilong Dai; Jinlong Liu; Haobing Tang; Le Zhang; Hao Jiang; Pipei Huang,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,3,100.0,large language model; multimodal; retrieval,cs.CV; cs.AI,2026-05-26,http://arxiv.org/abs/2605.26680v1,https://arxiv.org/pdf/2605.26680v1,,2605.26680,arxiv,"Recent video multimodal large language models (MLLMs) increasingly couple step-by-step reasoning with on-demand visual evidence retrieval, allowing models to revisit relevant video segments during inference. However, two structural gaps remain in existing thinking-with-video systems. (i) Sampling density is not a learnable decision: existing methods may let the model decide where to look, but the per-window frame rate is largely fixed. As a result, fine-grained evidence is often recovered through repeated retrieval calls, which increases inference context length and training difficulty. (ii) Retrieval and answer generation are usually optimized with a single trajectory-level advantage, so the ""where to look"" tokens and the ""how to answer"" tokens receive the same credit even when one is correct and the other is not. To address these gaps, we present DynFrame, a framework that emits the temporal window and the sampling density as native tokens within a single autoregressive pass. This learnable span-density retrieval enables acquiring multi-granularity evidence with a single retrieval step. Based on the above tokenized retrieval interface, we further introduce Segment-Decoupled GRPO (SD-GRPO), which splits each rollout at the retrieval boundary and assigns role-specific token-level advantages, separately crediting the sampling decision and the answer. Trained on the curated DM-CoT-74k and DM-RL-45k, DynFrame-4B is competitive with strong 7B-8B baselines across six benchmarks (NExT-GQA, Charades-STA, ActivityNet-MR, Video-MME, MLVU, LVBench), and DynFrame-8B sets new state-of-the-art on most metrics. Code is available at https://github.com/zhangguanghao523/DynFrame."
10,6.67,,,,,0.0,,LitSeg: Narrative-Aware Document Segmentation for Literary RAG,Ruikang Zhang; Zhanni Chen; Yiqiao Cai; Qi Su,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; retrieval,cs.CL; cs.AI,2026-05-26,http://arxiv.org/abs/2605.27156v1,https://arxiv.org/pdf/2605.27156v1,,2605.27156,arxiv,"Retrieval-Augmented Generation (RAG) enhances Large Language Models (LLMs) by incorporating external knowledge, particularly for long-tail domains such as literary works. However, the critical step of document segmentation in RAG remains largely underexplored. Existing strategies are typically semantically blind and overlook the complicated narrative structures of literary works, often resulting in fragmented plots and unclear references that severely hinder retrieval and generation performance. To address this, we propose LitSeg, a novel narrative-theory-guided segmentation framework. By employing multi-stage prompting, LitSeg explicitly extracts valid events, untangles narrative threads, clarifies narrative structures, and locates turning points to inform segmentation. To alleviate the computational overhead of multi-stage inference with large-scale models, we further introduce LitSeg-Lite, a lightweight single-pass chunker fine-tuned on LitSeg-generated data via a two-stage training strategy, distilling the complex process into a single inference pass. Extensive experiments demonstrate that with structurally independent text chunks, our methods significantly improve retrieval accuracy and context relevance over baselines, ultimately enhancing downstream QA performance, while ablation studies validate the efficacy of narratological guidance and data distillation."
