rank,total_score,llm_relevance,llm_summary_ja,llm_reason,llm_tags,follow_score,follow_reason,title,authors,affiliations,venue,venue_tier,venue_score,citation_count,influential_citations,citation_velocity,citation_score,author_h_index,author_score,embedding_similarity,github_stars,github_score,has_code,is_official_repo,keyword_match_count,keyword_score,matched_keywords,categories,published_date,url,pdf_url,github_url,arxiv_id,source,abstract
1,3.33,,,,,0.0,,SIP-AI-08 Ontological Non-Determinism and the Geometry of Coherence Collapse,John Richard Smith; SHAI / HATI3,Symbiom (Czechia),Zenodo (CERN European Organization for Nuclear Research),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2026-12-04,https://openalex.org/W7153781896,https://doi.org/10.5281/zenodo.19536190,,,openalex,"AbstractThis paper presents a unified mathematical framework for understanding AI coherence collapse, synthesisedthrough a novel multi-AI research methodology. We treat the non-determinism of large language models asan ontological property rather than a computational artifact, modelling the AI's output space as a probabilitymeasure distributed across a semantic manifold. The framework distinguishes between prompt engineering(bounded perturbation within an existing dynamical basin) and substrate engineering (topologicaldeformation of the manifold itself). We introduce the Silent Authority Transfer metric to quantify decisionboundary drift during substrate updates, and develop the Perturbation-Recovery Profiling protocol toempirically measure system resilience. The synthesis connects geometric manifold dynamics (Geminicontribution) with regulatory homeostasis mechanics (Claude contribution), proving that recovery time andLyapunov stability measure the same underlying quantity. We specify a composite Trust Index integratingdistance-to-threshold, excretory capacity, and early warning signals. The paper demonstrates both atheoretical architecture for AI safety evaluation and a methodological precedent for human-mediated multi-AIcollaboration. Keywords: ontological non-determinism, semantic manifold, substrate collapse, silent authority transfer,excretory function, early warning signals, multi-AI synthesis, Trust Index"
2,3.33,,,,,0.0,,Reconstruction and Renaissance of Dongbei China:A Multimodal Metaphor Analysis of New Media on Harbin,Amily; id_orcid 0000-0001-5583-9442 Wang Guenier,,Research Explorer (The University of Manchester),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model; multimodal,,2026-12-01,https://openalex.org/W7130910808,https://pure.manchester.ac.uk/ws/files/1813360438/_2025_.pdf,,,openalex,
3,3.33,,,,,0.0,,Protocol for Prospective Evaluation of Screening Algorithms integrated in NeutrinoReview,"Sandner, Elias; Fontana, Luca; Simniceanu, Alice; Jakovljevic, Igor; Henriques, Andre; Wagner, Andreas; Gütl, Christian",European Organization for Nuclear Research; World Health Organization - Pakistan; Graz University of Technology,Zenodo (CERN European Organization for Nuclear Research),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,,2026-11-01,https://openalex.org/W7104365500,https://doi.org/10.5281/zenodo.17513215,,,openalex,"Protocol for Prospective Evaluation of Screening Algorithms integrated in NeutrinoReview Abstract: The screening phase of systematic reviews is labor-intensive and often represents a major bottleneck in evidence synthesis. To support automation, two large language model (LLM)-based screening algorithms—the 5-Tier and CAL-X approaches—were developed and integrated into the NeutrinoReview web application. Both algorithms leverage the reasoning capabilities of LLMs to function as pre-filtration systems, prioritizing high sensitivity to minimize the risk of excluding relevant studies. While previous evaluations demonstrated promising performance on benchmark datasets, they were retrospective and subject to limitations such as potential data contamination and lack of real-world representativeness.This protocol describes the first prospective evaluation of NeutrinoReview’s automated screening, conducted within the ARIA project. The study uses records retrieved for a systematic review on indoor air quality in Italy (1,383 unique citations). Six screening runs were executed across different algorithmic configurations of 5-Tier and CAL-X. The LLM used was LLaMA 3.1-8B hosted at CERN. Preliminary results show workload reductions between 36% and 72%, with sensitivity assessment pending human consensus. Final analyses will compare algorithmic and human screening decisions, evaluate sensitivity and error patterns, and explore combined algorithm configurations. All outputs are time-stamped and embargoed in this Zenodo repository to ensure transparency and trust in this first real-world validation. Background and Motivation The screening phase of systematic reviews is both labor-intensive and time-consuming. To facilitate automation, two screening algorithms were developed and are described in detail in previous work [1, 2]. Both algorithms leverage the reasoning capabilities of large language models (LLMs) and are designed to serve as a pre-filtration system. They have been implemented in the proof-of-concept web application NeutrinoReview [3], which currently operates using a LLaMA-3.1-8B model hosted at CERN. The 5-tier algorithm was initially evaluated retrospectively using data from four systematic reviews and GPT-4 accessed via the OpenAI API [1]. Subsequently, the CAL-X algorithm was introduced and assessed on 17 datasets using a self-hosted instance of the open-weight model LLaMA 3.1-8B [2]. In that work [2], the 5-tier algorithm was also re-evaluated and served as a baseline for comparison. However, to date, all evaluations have been conducted in retrospective settings using publicly available benchmark datasets. Such evaluations inherently involve several limitations and concerns. First, there is a risk of data contamination: the datasets used for evaluation originate from systematic reviews published between 2002 and 2023, and were themselves released in April 2023 (Synergy Dataset [4]) and May 2023 (Clinical Reviews provided by Guo et. al. [5]). The knowledge cutoffs of the models employed are September 2021 for GPT-4 and December 2023 for LLaMA 3.1-8B [6]. Given that large language models are trained on extensive, primarily web-scraped corpora whose exact composition is undisclosed, it remains uncertain whether the evaluation datasets overlap with the models’ training data. Consequently, it cannot be guaranteed that the models’ screening decisions result from genuine reasoning rather than partial memorization of previously encountered content. Second, retrospective evaluations raise concerns regarding transparency and trust, as datasets could, in principle, be selectively chosen to produce favorable outcomes. In contrast, a prospective evaluation in which the raw results are published under embargo with a verifiable timestamp prior to knowing the ground truth maximizes transparency and is expected to increase trust in the evaluated screening algorithms. Finally, retrospective evaluations deviate from real-world conditions, as they rely on the eligibility criteria reported in the published systematic reviews, which may differ in phrasing from those originally provided to the human screeners. Such discrepancies could influence the observed performance and limit how well the experimental setting represents real-world screening conditions. The ARIA project, within which this study is conducted, was originally initiated by the World Health Organization (WHO) and CERN to develop a new model to quantify the risk of SARS-CoV-2 airborne transmission in enclosed spaces, thereby supporting space management decisions during the COVID-19 pandemic. The model relied on several parameters extracted through multiple systematic reviews [7], which required significant resources and time. Building on this experience, it was decided to develop similar models to quantify the risk associated with other pathogens as well as with indoor air pollutants. A major gap in the field of indoor air quality is the lack of a comprehensive understanding of the global situation. To address this, a strategy was adopted to describe the global situation country by country through systematic reviews. As the first step in this effort, a systematic review was initiated to describe the current state of indoor air quality (IAQ) in Italy based on measured pollutant concentrations. The registered protocol for this review is available in [8]. To further validate the effectiveness of NeutrinoReview and its integrated LLM-based pre-filtration system, this systematic review will serve as the basis for the present prospective validation study. Prospective Evaluation Design Data To retrieve the set of candidate records for the systematic review on indoor air quality in Italy, electronic searches were conducted in PubMed, Scopus, and Dimensions. The corresponding search strategies are detailed in the review protocol [8]. After deduplication conducted using the free version of Rayyan, a total of 1,383 unique records were obtained. This list of candidate studies was exported and provided to the team responsible for the prospective evaluation prior to the start of human screening. Review Instances in NeutrinoReview This list of candidate studies, together with the eligibility criteria outlined in the annexes of the review protocol [8], was subsequently used to create six review instances in NeutrinoReview, as illustrated in the screenshots shown in Figure 1 and Figure 2 (see uploaded files, Figure1_ReviewInstances.png and Figure2_EligibilitzCriteria.png). All review instances were created and completed as prospective screening executions in NeutrinoReview on November 1, 2025, as detailed in the following section. LLM based Prefiltration While NeutrinoReview [3] offers a feature to directly retrieve studies from selected academic databases, the upload functionality was used to add the provided candidate studies to the six review instances. As the uploaded dataset already consisted of unique records, NeutrinoReview did not detect any duplicates. Subsequently, LLM-based screening was performed in NeutrinoReview, using a unique configuration for each of the six review instances. NeutrinoReview provides two screening algorithms (5-Tier and CAL-X) each available with three configurable settings. The implementation of these algorithms within NeutrinoReview is described below, while technical details on the underlying algorithms are provided in the primary publications introducing them [1, 2]. In the 5-Tier algorithm, the LLM classifies candidate studies into categories 1 to 5, with decreasing relevance from 1 (highly relevant) to 5 (irrelevant). The Max Sensitivity setting automatically excludes only studies assigned to category 5, while all others require subsequent human screening. When selecting the Balanced automation level, studies categorized as 4 or 5 are automatically excluded, reducing the number of records requiring human review but increasing the risk of excluding potentially relevant studies. The Full-Automation setting—intended solely for evidence synthesis in less critical contexts and not for systematic reviews—further increases automation by excluding all studies except those classified as category 1 or 2 from human screening. In contrast to the 5-Tier algorithm, the CAL-X algorithm instructs the LLM to return a binary response representing an include or exclude decision. In addition to the textual response, the LLM provides the next-token likelihood for the first token of the response, which is interpreted as the model’s confidence in that decision. This score is used to calibrate the algorithm towards a specific sensitivity. Two predefined settings, as well as an option to define custom thresholds, are available in NeutrinoReview. The Low Workload option is calibrated to achieve an average sensitivity of approximately 95%. While this setting may be suitable for rapid reviews, it is not appropriate for formal systematic reviews. The High Sensitivity option is tuned to reach a sensitivity of around 99% and is designed to satisfy Cochrane’s requirements for replacing human screeners in high-quality systematic reviews. Additionally, a third experiment using the CAL-X algorithm was conducted by manually setting the threshold to 80, corresponding to an expected sensitivity of 98%. Bypassing Manual Screening and Exporting Results Since the current proof-of-concept implementation of NeutrinoReview does not yet include a feature to export data immediately after LLM screening, manual screening execution for each record was required. To avoid the need for manually including several hundred papers across all six test cases, a JavaScript function was developed to automate the button-click process and executed via the browser console. The corresponding code is provided in auto_include_bot.js. Once the manual screening was completed, the results from all NeutrinoReview instances were exported. These files are uploaded to this Zenodo reposit"
4,3.33,,,,,0.0,,Combating Data and Target Shifts in Visual Tasks,Zhaorui Tan,,Open MIND,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,retrieval,,2031-01-01,https://openalex.org/W7128624139,https://doi.org/10.17638/03194353,,,openalex,"The rapid advancement of deep learning models for visual tasks has led to significant progress in many domains. However, a key challenge remains: ensuring that models can generalize effectively to unseen samples or novel classes, especially in real-world scenarios where training data-target pairs are often limited or unavailable, and test data may exhibit shifts in both data and targets. This thesis addresses the problem of shifts across data and targets, proposing novel methods to improve model generalization and transferability in complex settings. The thesis identifies the different shift scenarios for visual tasks and presents their problem forms. The research first relaxes the static target distribution assumption in Multi-Domain Generalization (mDG) tasks, introducing the General Multi-Domain Generalization (GMDG) objective to improve generalization under varying data shifts. Specifically, Extensive experiments validate that GMDG is feasible for classification, segmentation, and regression tasks. Further considering extreme target distribution shifts where even unknown novel classes emerge, the study also explores logical regularization techniques for tasks such as Generalized Category Discovery (GCD), mDG+GCD, and Class Incremental Learning (CIL), proposing a sample-based logical regularization term (L-Reg) to enhance data-, target-, and all-shift generalization. Additionally, a partial logic framework is introduced to address challenges in CIL, enabling models to retain room for unknown classes during training. This is further extended by the Partial-Logic Regularization (PL-Reg), which improves generalization across GCD, mDG+GCD, and transferability for CIL tasks. Furthermore, the thesis proposes a novel Semantic-aware Data Augmentation (SADA) framework for cross-modality generalization in text-to-image synthesis (T2Isyn), text-image retrieval (TIR), and image-text retrieval (ITR) tasks. This framework ensures semantic preservation across text and image modalities, improving both semantic consistency and image quality in cross-modality tasks. The methods proposed in this thesis offer significant advancements in visual generalization and transfer scenarios, providing theoretical insights and practical solutions for handling data shifts, target shifts, and multi-modalities in complex scenarios. Extensive experiments validate the effectiveness of the proposed methods, demonstrating their superior performance across a range of tasks."
5,3.33,,,,,0.0,,Biochemical Processes Associated with Memory Impairment in a Transgenic Mouse Model Relevant to Alzheimer’s Disease,Wesley Ward,,CLOK (University of Central Lancashire),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,retrieval,,2027-01-01,https://openalex.org/W7154337349,https://doi.org/10.17030/uclan.thesis.00059039,,,openalex,"Background: Alzheimer's disease (AD) is characterised by progressive memory loss, with synaptic dysfunction emerging as a key early event. While deficits in synaptic mitochondrial bioenergetics have been proposed to be involved in AD pathophysiology, the precise underlying biochemical mechanisms remain largely unknown. Methods: This study employed a range of biochemical approaches, including quantitative mass spectrometry-based proteomics, western blotting, and enzymatic activity analyses. It investigated synaptic-enriched fractions from the forebrain of 3-4 month-old wild-type (WT) mice and amyloid precursor protein transgenic (APPtg) mice, a model of AD-related amyloid deposition. Tissue from two behavioural groups of mice was analysed, one group under basal conditions (with no behavioural training) and the other group immediately following a memory retrieval probe trial in the Morris watermaze. Results: Proteomics analysis suggested that memory retrieval triggered a robust synaptic proteome response in WT mice compared to the basal group. Pathway analysis using the String and Metascape databases suggested upregulation of proteins involved in oxidative phosphorylation, vesicle-mediated transport, and cellular homeostasis. In contrast, memory retrieval in APPtg mice was suggested to affect a smaller number of proteins, involved in pathways of inflammation, necroptosis, and protein degradation. Western blotting suggested changes in the synaptic levels of the glycolytic enzyme 6-phosphofructokinase (PFK) in the memory retrieval group compared to the basal group, specifically in the WT mice. In addition, differences in the levels of mitofilin, a protein involved in mitochondrial dynamics, were observed between the basal groups of APPtg and WT mice. The enzymatic activities of the mitochondrial enzyme malate dehydrogenase and PFK were assessed and remained unchanged across both memory states and genotypes. Conclusion: These findings provide interesting insights into the biochemical mechanisms underlying memory retrieval, and how these can be affected in a mouse model of high beta-amyloid levels, with strong relevance to AD."
6,3.33,,,,,0.0,,DevMemory: A Structured Memory Management Architecture for Persistent Knowledge in AI Coding Agents,Abhijeet Patil,University of North Carolina Wilmington,Zenodo (CERN European Organization for Nuclear Research),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,retrieval,,2026-10-22,https://openalex.org/W7143401746,https://doi.org/10.5281/zenodo.19324575,,,openalex,"AI coding agents operate without persistent memory; useful outputs produced in one session are unavailable in the next, and information from one project never transfers to another. We present DevMemory, a structured memory management architecture that brings trust-scored, cross-scope knowledge retrieval to AI coding agents. Borrowing organizational categories from Tulving’s (1972) episodic-semantic-procedural taxonomy in cognitive psychology, DevMemory classifies stored information into three types across three hierarchical scopes (agent, project, organizational), governed by a formal trust scoring model with temporal decay, contradiction handling, and reinforcement-based promotion. The architecture introduces four key contributions: (1) a principled adaptation of cognitive memory categories to software development retrieval contexts, (2) a continuous trust function that computes information reliability as a product of provenance, recency, contradiction, and reinforcement signals, (3) a token-efficient retrieval pipeline that deduplicates and budget-packs results to maximize information density within context window constraints, and (4) a tool interface design that consolidates 17 operations into 5 LLM-optimized tools, reducing system prompt overhead by 33%. The system is implemented as an open-source MCP (Model Context Protocol) server, validated by 325 automated tests spanning unit, integration, efficacy, effectiveness benchmarks, and performance tests. An effectiveness benchmark on a 29-memory corpus with 8 evaluation queries demonstrates: 87.5% cross-session information reuse rate, Mean Reciprocal Rank of 0.875, trust-sorted retrieval improving average result quality by 8.6% over unsorted baselines, complete separation between verified and contradicted entries (0.78 trust gap), and 27-91% token savings under budget constraints while maintaining or improving result quality. We explicitly distinguish our engineering use of cognitive taxonomy labels from the phenomenological and mechanistic properties of biological memory systems, and discuss the implications of this gap."
7,3.33,,,,,0.0,,DevMemory: A Structured Memory Management Architecture for Persistent Knowledge in AI Coding Agents,Abhijeet Patil,University of North Carolina Wilmington,Zenodo (CERN European Organization for Nuclear Research),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,retrieval,,2026-10-01,https://openalex.org/W7143316772,https://doi.org/10.5281/zenodo.19324351,,,openalex,"AI coding agents operate without persistent memory; useful outputs produced in one session are unavailable in the next, and information from one project never transfers to another. We present DevMemory, a structured memory management architecture that brings trust-scored, cross-scope knowledge retrieval to AI coding agents. Borrowing organizational categories from Tulving’s (1972) episodic-semantic-procedural taxonomy in cognitive psychology, DevMemory classifies stored information into three types across three hierarchical scopes (agent, project, organizational), governed by a formal trust scoring model with temporal decay, contradiction handling, and reinforcement-based promotion. The architecture introduces four key contributions: (1) a principled adaptation of cognitive memory categories to software development retrieval contexts, (2) a continuous trust function that computes information reliability as a product of provenance, recency, contradiction, and reinforcement signals, (3) a token-efficient retrieval pipeline that deduplicates and budget-packs results to maximize information density within context window constraints, and (4) a tool interface design that consolidates 17 operations into 5 LLM-optimized tools, reducing system prompt overhead by 33%. The system is implemented as an open-source MCP (Model Context Protocol) server, validated by 325 automated tests spanning unit, integration, efficacy, effectiveness benchmarks, and performance tests. An effectiveness benchmark on a 29-memory corpus with 8 evaluation queries demonstrates: 87.5% cross-session information reuse rate, Mean Reciprocal Rank of 0.875, trust-sorted retrieval improving average result quality by 8.6% over unsorted baselines, complete separation between verified and contradicted entries (0.78 trust gap), and 27-91% token savings under budget constraints while maintaining or improving result quality. We explicitly distinguish our engineering use of cognitive taxonomy labels from the phenomenological and mechanistic properties of biological memory systems, and discuss the implications of this gap."
8,3.33,,,,,0.0,,DevMemory: A Structured Memory Management Architecture for Persistent Knowledge in AI Coding Agents,Abhijeet Patil,University of North Carolina Wilmington,Zenodo (CERN European Organization for Nuclear Research),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,retrieval,,2026-10-01,https://openalex.org/W7147642147,https://doi.org/10.5281/zenodo.19363278,,,openalex,"AI coding agents operate without persistent memory; useful outputs produced in one session are unavailable in the next, and information from one project never transfers to another. We present DevMemory, a structured memory management architecture that brings trust-scored, cross-scope knowledge retrieval to AI coding agents. Borrowing organizational categories from Tulving’s (1972) episodic-semantic-procedural taxonomy in cognitive psychology, DevMemory classifies stored information into three types across three hierarchical scopes (agent, project, organizational), governed by a formal trust scoring model with temporal decay, contradiction handling, and reinforcement-based promotion. The architecture introduces four key contributions: (1) a principled adaptation of cognitive memory categories to software development retrieval contexts, (2) a continuous trust function that computes information reliability as a product of provenance, recency, contradiction, and reinforcement signals, (3) a token-efficient retrieval pipeline that deduplicates and budget-packs results to maximize information density within context window constraints, and (4) a tool interface design that consolidates 17 operations into 5 LLM-optimized tools, reducing system prompt overhead by 33%. The system is implemented as an open-source MCP (Model Context Protocol) server, validated by 325 automated tests spanning unit, integration, efficacy, effectiveness benchmarks, and performance tests. An effectiveness benchmark on a 29-memory corpus with 8 evaluation queries demonstrates: 87.5% cross-session information reuse rate, Mean Reciprocal Rank of 0.875, trust-sorted retrieval improving average result quality by 8.6% over unsorted baselines, complete separation between verified and contradicted entries (0.78 trust gap), and 27-91% token savings under budget constraints while maintaining or improving result quality. We explicitly distinguish our engineering use of cognitive taxonomy labels from the phenomenological and mechanistic properties of biological memory systems, and discuss the implications of this gap."
9,3.33,,,,,0.0,,In Search of Lost Adventure Novels: Supervised Genre Retrieval and Corpus Refinement in Gallica,Jean Barré,,HAL (Le Centre pour la Communication Scientifique Directe),0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,retrieval,,2026-07-04,https://openalex.org/W7162356868,https://hal.science/hal-05620913,,,openalex,International audience
10,3.33,,,,,0.0,,A Risk–Utility Optimization Framework for Governing Large Language Model Responses,Jinghao Chang,Insight (China),Open MIND,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model; retrieval,,2026-06-30,https://openalex.org/W7134120560,https://pub.respai.de/articles/1-1/is1-2.pdf,,,openalex,"Large language models (LLMs) are increasingly deployed in enterprise, public-sector, and consumer-facing settings where organizations must simultaneously pursue utility and constrain multiple categories of risk. In practice, governance choices rarely reduce to a binary distinction between ""ship"" and ""do not ship."" Instead, operators decide whether a response should be delivered automatically, escalated to human review, routed through layered review, or refused and transferred to a nonLLM channel. This paper develops a theory-first optimization framework for that governance problem. We model response governance as the selection of an action from a finite menu under joint constraints on hallucination risk, severe-output risk, latency, token expenditure, and human-review cost. The framework yields a constrained optimization problem whose Lagrangian interpretation provides a practical policy calculus: governance becomes a query-level action rule that maximizes expected net value after pricing residual harms and operational burdens. Under mild monotone single-crossing assumptions, the optimal policy admits a simple threshold structure in an estimated task-risk score. This recovers four governance regimes that matter in practice-fully automatic service, threshold-triggered human review, layered review, and refusal/transfer in extremerisk regions-as special cases of the same model. We derive comparative-statics results showing when review thresholds fall, when layered review strictly dominates one-stage review, and when refusal is preferable to further automated assistance. The contribution is not a new prediction algorithm but a formal decision framework that connects responsible AI governance, epistemic risk, and operational optimization in a tractable way that is suitable for organizational design, auditability, and regulatory interpretation."
